reg_time,uid,fc_imp_chk,fc_time_chk,utmtr,mm_dma,osName,model,hardware,site_id
2021-07-21 19:25:47,00000000-0000-0001-6268-955448351062,0,7,6,530,iOS,iPhone XR,Mobile Phone,soaps.sheknows.com
2021-07-21 19:25:51,00000000-0000-0001-6268-955448381600,0,7,6,612,iOS,iPhone,Mobile Phone,www.forbes.com
2021-07-21 19:25:52,00000000-0000-0001-6268-955460621935,0,7,6,524,Android,SM-G998U,Mobile Phone,www.parents.com
2021-07-21 19:26:05,00000000-0000-0001-6268-955631601064,0,7,6,659,iOS,iPhone,Mobile Phone,livingforthesunshine.com
2021-07-21 19:26:05,00000000-0000-0001-6268-955659731502,0,7,6,505,iOS,iPhone,Mobile Phone,www.pro-football-reference.com
2021-07-21 19:26:11,00000000-0000-0001-6268-955714911578,0,7,6,691,iOS,iPhone,Mobile Phone,www.cagesideseats.com
2021-07-21 19:26:15,00000000-0000-0001-6268-955749281919,0,7,6,612,iOS,iPhone,Mobile Phone,www.inverse.com
2021-07-21 19:26:15,00000000-0000-0001-6268-955584381110,0,7,6,510,iOS,iPhone,Mobile Phone,www.al.com
2021-07-21 19:26:19,00000000-0000-0001-6268-955762761641,0,7,6,556,iOS,iPhone,Mobile Phone,thewoksoflife.com
2021-07-21 19:26:20,00000000-0000-0001-6268-955772241480,0,7,6,505,iOS,iPhone,Mobile Phone,www.orwhateveryoudo.com
2021-07-21 19:26:21,00000000-0000-0001-6268-955776641042,0,7,6,563,iOS,iPhone,Mobile Phone,www.eonline.com
2021-07-21 19:26:18,00000000-0000-0001-6268-955766831516,0,7,6,510,iOS,iPhone,Mobile Phone,www.forbes.com
2021-07-21 19:26:17,00000000-0000-0001-6268-955764891946,0,7,6,659,iOS,iPhone,Mobile Phone,www.themagicalslowcooker.com
2021-07-21 19:26:23,00000000-0000-0001-6268-955837141592,0,7,6,524,iOS,iPhone,Mobile Phone,www.brewhoop.com
2021-07-21 19:26:27,00000000-0000-0001-6268-955863611771,0,7,6,573,iOS,iPhone,Mobile Phone,www.mensjournal.com
2021-07-21 19:26:28,00000000-0000-0001-6268-955885491658,0,7,6,505,Android,SM-G965U,Mobile Phone,www.mmafighting.com
2021-07-21 19:26:31,00000000-0000-0001-6268-955880741410,0,7,6,566,iOS,iPhone XR,Mobile Phone,gardening.org
